Date,Clicks,Impressions,CTR,Position
2026-03-30,1,69,1.45%,56.1
2026-03-31,0,57,0%,55.8
2026-04-01,0,90,0%,57.8
2026-04-02,1,46,2.17%,47.7
2026-04-03,0,948,0%,10.8
2026-04-04,0,2046,0%,9
2026-04-05,0,45,0%,49.8
2026-04-06,0,80,0%,56.6
2026-04-07,0,102,0%,58.5
2026-04-08,0,116,0%,61.5
2026-04-09,0,177,0%,68.7
2026-04-10,1,66,1.52%,62.6
2026-04-11,0,95,0%,68.6
2026-04-12,1,103,0.97%,70.9
2026-04-13,0,133,0%,70.7
2026-04-14,0,83,0%,73.8
2026-04-15,0,180,0%,70.2
2026-04-16,0,200,0%,69.5
2026-04-17,1,197,0.51%,66.8
2026-04-18,0,185,0%,63.4
2026-04-19,0,159,0%,55.1
2026-04-20,0,190,0%,58.5
2026-04-21,1,174,0.57%,62.5
2026-04-22,0,171,0%,67.6
2026-04-23,0,117,0%,64.9
2026-04-24,0,83,0%,60.9
2026-04-25,0,126,0%,64.8
2026-04-26,0,121,0%,71
